County Name,cases - 1/22/20,cases - 1/23/20,cases - 1/24/20,cases - 1/25/20,cases - 1/26/20,cases - 1/27/20,cases - 1/28/20,cases - 1/29/20,cases - 1/30/20,cases - 1/31/20,cases - 2/1/20,cases - 2/2/20,cases - 2/3/20,cases - 2/4/20,cases - 2/5/20,cases - 2/6/20,cases - 2/7/20,cases - 2/8/20,cases - 2/9/20,cases - 2/10/20,cases - 2/11/20,cases - 2/12/20,cases - 2/13/20,cases - 2/14/20,cases - 2/15/20,cases - 2/16/20,cases - 2/17/20,cases - 2/18/20,cases - 2/19/20,cases - 2/20/20,cases - 2/21/20,cases - 2/22/20,cases - 2/23/20,cases - 2/24/20,cases - 2/25/20,cases - 2/26/20,cases - 2/27/20,cases - 2/28/20,cases - 2/29/20,cases - 3/1/20,cases - 3/2/20,cases - 3/3/20,cases - 3/4/20,cases - 3/5/20,cases - 3/6/20,cases - 3/7/20,cases - 3/8/20,cases - 3/9/20,cases - 3/10/20,cases - 3/11/20,cases - 3/12/20,cases - 3/13/20,cases - 3/14/20,cases - 3/15/20,cases - 3/16/20,cases - 3/17/20,cases - 3/18/20,cases - 3/19/20,cases - 3/20/20,cases - 3/21/20,cases - 3/22/20,cases - 3/23/20,cases - 3/24/20,cases - 3/25/20,cases - 3/26/20,cases - 3/27/20,cases - 3/28/20,cases - 3/29/20,cases - 3/30/20,cases - 3/31/20,cases - 4/1/20,cases - 4/2/20,cases - 4/3/20,cases - 4/4/20,cases - 4/5/20,cases - 4/6/20,cases - 4/7/20,cases - 4/8/20,cases - 4/9/20,cases - 4/10/20,cases - 4/11/20,cases - 4/12/20,cases - 4/13/20,cases - 4/14/20,cases - 4/15/20,cases - 4/16/20,cases - 4/17/20,cases - 4/18/20,cases - 4/19/20,cases - 4/20/20,cases - 4/21/20,cases - 4/22/20,cases - 4/23/20,cases - 4/24/20,cases - 4/25/20,cases - 4/26/20,cases - 4/27/20,cases - 4/28/20,cases - 4/29/20,cases - 4/30/20,cases - 5/1/20,cases - 5/2/20,cases - 5/3/20,cases - 5/4/20,cases - 5/5/20,cases - 5/6/20,cases - 5/7/20,cases - 5/8/20,cases - 5/9/20,cases - 5/10/20,cases - 5/11/20,cases - 5/12/20,cases - 5/13/20,cases - 5/14/20,cases - 5/15/20,cases - 5/16/20,cases - 5/17/20,cases - 5/18/20,cases - 5/19/20,cases - 5/20/20,cases - 5/21/20,cases - 5/22/20,cases - 5/23/20,cases - 5/24/20,cases - 5/25/20,cases - 5/26/20,cases - 5/27/20,cases - 5/28/20,cases - 5/29/20,cases - 5/30/20,cases - 5/31/20,cases - 6/1/20,cases - 6/2/20,cases - 6/3/20,cases - 6/4/20,cases - 6/5/20,cases - 6/6/20,cases - 6/7/20,cases - 6/8/20,cases - 6/9/20,cases - 6/10/20,cases - 6/11/20,cases - 6/12/20,cases - 6/13/20,cases - 6/14/20,cases - 6/15/20,cases - 6/16/20,cases - 6/17/20,cases - 6/18/20,cases - 6/19/20,cases - 6/20/20,cases - 6/21/20,cases - 6/22/20,cases - 6/23/20,cases - 6/24/20,cases - 6/25/20,cases - 6/26/20,cases - 6/27/20,cases - 6/28/20,cases - 6/29/20,cases - 6/30/20,cases - 7/1/20,cases - 7/2/20,cases - 7/3/20,cases - 7/4/20,cases - 7/5/20,cases - 7/6/20,cases - 7/7/20,cases - 7/8/20,cases - 7/9/20,cases - 7/10/20,cases - 7/11/20,cases - 7/12/20,cases - 7/13/20,cases - 7/14/20,cases - 7/15/20,cases - 7/16/20,cases - 7/17/20,cases - 7/18/20,cases - 7/19/20,cases - 7/20/20,cases - 7/21/20,cases - 7/22/20,cases - 7/23/20,cases - 7/24/20,cases - 7/25/20,cases - 7/26/20,cases - 7/27/20,cases - 7/28/20,cases - 7/29/20,cases - 7/30/20,cases - 7/31/20,cases - 8/1/20,cases - 8/2/20,cases - 8/3/20,cases - 8/4/20,cases - 8/5/20,cases - 8/6/20,cases - 8/7/20,cases - 8/8/20,cases - 8/9/20,cases - 8/10/20,cases - 8/11/20,cases - 8/12/20,cases - 8/13/20,cases - 8/14/20,cases - 8/15/20,cases - 8/16/20,cases - 8/17/20,cases - 8/18/20,cases - 8/19/20,cases - 8/20/20,cases - 8/21/20,cases - 8/22/20,cases - 8/23/20,cases - 8/24/20,cases - 8/25/20,cases - 8/26/20,cases - 8/27/20,cases - 8/28/20,cases - 8/29/20,cases - 8/30/20,cases - 8/31/20,cases - 9/1/20,cases - 9/2/20,cases - 9/3/20,cases - 9/4/20,cases - 9/5/20,cases - 9/6/20,cases - 9/7/20,cases - 9/8/20,cases - 9/9/20,cases - 9/10/20,cases - 9/11/20,cases - 9/12/20,cases - 9/13/20,cases - 9/14/20,cases - 9/15/20,cases - 9/16/20
Adams County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,2,2,0,0,1
Barnes County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,4,2,1,1,1,0,3,6,1,1,1,3,14,6,20,0,9,2,3,7,1,15,4,9,4,0,3,1,29,5,2,0,0
Benson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,0,3,2,0,0,0,2,3,2,0,0,0,4,5,8,7,10,9,4,0,4,12,7,1,0,33,3,1,1,2,2,1,5,3,12,6,2,3,5,3,1,20,5,1,0,2,0,4,0,13,2,0,5,4,6,3,0,7,0,0,0,1,3,0,8,4,2,0,3
Billings County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bottineau County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,6,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,3,1,0,0,0,0,0,0,0,1,3
Bowman County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,2,0,3,1,0,0,0
Burke County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,1,0,1,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Burleigh County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,2,2,1,1,1,0,5,2,3,0,1,1,2,0,0,2,3,1,1,3,4,2,1,1,1,1,0,2,0,0,0,9,0,2,2,1,6,0,0,0,2,1,2,1,0,3,9,10,0,1,0,0,1,1,1,1,2,3,1,3,1,3,3,0,0,0,0,0,0,2,1,1,1,1,1,2,2,1,6,1,1,1,3,3,6,3,6,2,9,4,0,8,4,6,4,0,15,6,11,0,7,8,9,9,14,21,12,8,6,15,20,22,24,16,19,22,3,9,22,25,23,16,0,16,15,38,63,33,34,25,51,27,11,38,29,17,18,28,42,33,26,34,29,30,43,11,39,31,19,44,21,51,42,50,73,48,28,15,34,60,55,50,28,0,73,22,61,19,39,55,78,36,22,51,62,32,61,89,42,82,15
Cass County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,3,7,2,3,8,6,6,3,2,6,11,5,7,6,5,7,12,9,7,12,17,0,0,0,94,9,19,16,28,39,40,34,41,20,21,29,30,33,25,13,43,23,43,29,24,16,45,69,56,41,74,41,26,56,48,93,72,45,41,36,16,16,36,29,24,20,39,18,21,20,31,46,31,6,13,28,26,22,31,7,14,9,24,0,13,14,20,5,3,25,10,12,0,15,25,12,15,17,18,28,11,17,7,15,29,19,21,22,28,11,19,25,37,29,26,0,24,10,42,47,3,29,22,25,9,22,25,20,5,10,6,20,19,29,22,11,7,12,15,15,16,13,11,7,13,34,21,20,27,24,15,20,30,36,55,40,0,56,28,50,57,79,73,44,24,13,63,63,40,71,83,80,34,79
Cavalier County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,4,3,1,1,2,1,0,3,2,1,1,0,0,-1,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,6
Dickey County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,1,2,2,0,2,0,0,1,1,0,0,1,2,0,0,0,2,0,1,1,0,1,1
Divide County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dunn County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,2,0,1,4,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,1,1,5,0,1,0,6
Eddy County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,2,4,0,2,0,0,1,2,6,5,4,0,0,0,1,2,4,1,0,1,0,0
Emmons County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,1,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5,0,1,1,1,0,0,5,10,2,3,8
Foster County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,1,0,1,0,5,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,1,2,4,2,1,0,0,0,0,1,4,4,0,0,0,0
Golden Valley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,0,2,0,1,0,7,0,1,1,2,2,2,4,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1
Grand Forks County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,4,1,0,0,0,0,0,0,0,0,1,8,3,0,0,0,115,5,11,8,8,3,22,36,3,17,7,4,3,2,2,1,1,4,7,2,1,2,6,4,7,3,8,2,0,0,2,1,0,1,2,2,1,1,1,3,2,0,2,0,1,0,0,0,1,2,0,0,0,2,1,1,2,1,10,0,2,3,0,4,0,8,3,3,0,5,1,0,2,3,7,5,1,3,2,3,1,10,9,16,11,3,1,8,11,2,26,0,24,16,6,14,6,21,5,4,2,1,11,5,2,11,5,8,7,5,10,5,6,18,9,18,9,38,14,10,6,22,31,45,77,39,25,110,16,81,46,147,0,38,30,19,80,68,50,31,35,1,14,0,64,13,15,32,17,5
Grant County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Griggs County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,3,0,2,5,2,1,4,4,1,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0
Hettinger County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,2,1,3,3,0,3,1,3,0,2,0,2,1,1,1,2,1,4,2,2,0,4
Kidder County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,4,0,0,1,0,3,0,1,0,1,0,0,0,0,1,2,1,1,1,2,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
LaMoure County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,3,1,0,0,2,0,4,3,0,1,2
