,,deaths
Alachua County,week 1,0
Alachua County,week 2,0
Alachua County,week 3,0
Alachua County,week 4,0
Alachua County,week 5,0
Alachua County,week 6,0
Alachua County,week 7,0
Alachua County,week 8,0
Alachua County,week 9,0
Alachua County,week 10,0
Alachua County,week 11,0
Alachua County,week 12,0
Alachua County,week 13,1
Alachua County,week 14,1
Alachua County,week 15,3
Alachua County,week 16,0
Alachua County,week 17,2
Alachua County,week 18,0
Alachua County,week 19,0
Alachua County,week 20,1
Alachua County,week 21,2
Alachua County,week 22,1
Alachua County,week 23,1
Alachua County,week 24,0
Alachua County,week 25,0
Alachua County,week 26,2
Alachua County,week 27,6
Alachua County,week 28,5
Alachua County,week 29,1
Alachua County,week 30,3
Alachua County,week 31,2
Alachua County,week 32,2
Alachua County,week 33,0
Alachua County,week 34,9
Alachua County,week 35,0
Baker County,week 1,0
Baker County,week 2,0
Baker County,week 3,0
Baker County,week 4,0
Baker County,week 5,0
Baker County,week 6,0
Baker County,week 7,0
Baker County,week 8,0
Baker County,week 9,0
Baker County,week 10,0
Baker County,week 11,1
Baker County,week 12,1
Baker County,week 13,1
Baker County,week 14,0
Baker County,week 15,0
Baker County,week 16,0
Baker County,week 17,0
Baker County,week 18,0
Baker County,week 19,0
Baker County,week 20,1
Baker County,week 21,0
Baker County,week 22,0
Baker County,week 23,0
Baker County,week 24,0
Baker County,week 25,0
Baker County,week 26,0
Baker County,week 27,0
Baker County,week 28,0
Baker County,week 29,0
Baker County,week 30,0
Baker County,week 31,0
Baker County,week 32,2
Baker County,week 33,0
Baker County,week 34,2
Baker County,week 35,3
Bay County,week 1,0
Bay County,week 2,0
Bay County,week 3,0
Bay County,week 4,0
Bay County,week 5,0
Bay County,week 6,0
Bay County,week 7,0
Bay County,week 8,0
Bay County,week 9,0
Bay County,week 10,0
Bay County,week 11,1
Bay County,week 12,1
Bay County,week 13,0
Bay County,week 14,0
Bay County,week 15,1
Bay County,week 16,0
Bay County,week 17,0
Bay County,week 18,0
Bay County,week 19,0
Bay County,week 20,1
Bay County,week 21,0
Bay County,week 22,0
Bay County,week 23,0
Bay County,week 24,1
Bay County,week 25,3
Bay County,week 26,3
Bay County,week 27,4
Bay County,week 28,22
Bay County,week 29,15
Bay County,week 30,15
Bay County,week 31,7
Bay County,week 32,5
Bay County,week 33,7
Bay County,week 34,7
Bay County,week 35,0
Bradford County,week 1,0
Bradford County,week 2,0
Bradford County,week 3,0
Bradford County,week 4,0
Bradford County,week 5,0
Bradford County,week 6,0
Bradford County,week 7,0
Bradford County,week 8,0
Bradford County,week 9,0
Bradford County,week 10,0
Bradford County,week 11,0
Bradford County,week 12,1
Bradford County,week 13,1
Bradford County,week 14,0
Bradford County,week 15,0
Bradford County,week 16,0
Bradford County,week 17,0
Bradford County,week 18,0
Bradford County,week 19,0
Bradford County,week 20,0
Bradford County,week 21,0
Bradford County,week 22,0
Bradford County,week 23,0
Bradford County,week 24,0
Bradford County,week 25,0
Bradford County,week 26,0
Bradford County,week 27,1
Bradford County,week 28,1
Bradford County,week 29,0
Bradford County,week 30,0
Bradford County,week 31,1
Bradford County,week 32,0
Bradford County,week 33,0
Bradford County,week 34,1
Bradford County,week 35,0
Brevard County,week 1,0
Brevard County,week 2,0
Brevard County,week 3,0
Brevard County,week 4,0
Brevard County,week 5,0
Brevard County,week 6,0
Brevard County,week 7,0
Brevard County,week 8,0
Brevard County,week 9,0
Brevard County,week 10,0
Brevard County,week 11,2
Brevard County,week 12,4
Brevard County,week 13,1
Brevard County,week 14,1
Brevard County,week 15,0
Brevard County,week 16,1
Brevard County,week 17,2
Brevard County,week 18,1
Brevard County,week 19,1
Brevard County,week 20,0
Brevard County,week 21,3
Brevard County,week 22,1
Brevard County,week 23,0
Brevard County,week 24,3
Brevard County,week 25,14
Brevard County,week 26,19
Brevard County,week 27,12
Brevard County,week 28,58
Brevard County,week 29,34
Brevard County,week 30,24
Brevard County,week 31,14
Brevard County,week 32,15
Brevard County,week 33,25
Brevard County,week 34,28
Brevard County,week 35,3
Broward County,week 1,0
Broward County,week 2,0
Broward County,week 3,0
Broward County,week 4,0
Broward County,week 5,0
Broward County,week 6,0
Broward County,week 7,0
Broward County,week 8,1
Broward County,week 9,2
Broward County,week 10,9
Broward County,week 11,42
Broward County,week 12,27
Broward County,week 13,45
Broward County,week 14,53
Broward County,week 15,36
Broward County,week 16,43
Broward County,week 17,24
Broward County,week 18,18
Broward County,week 19,17
Broward County,week 20,29
Broward County,week 21,12
Broward County,week 22,19
Broward County,week 23,6
Broward County,week 24,35
Broward County,week 25,46
Broward County,week 26,53
Broward County,week 27,90
Broward County,week 28,158
Broward County,week 29,91
Broward County,week 30,169
Broward County,week 31,122
Broward County,week 32,40
Broward County,week 33,47
Broward County,week 34,54
Broward County,week 35,9
Calhoun County,week 1,0
Calhoun County,week 2,0
Calhoun County,week 3,0
Calhoun County,week 4,0
Calhoun County,week 5,0
Calhoun County,week 6,0
Calhoun County,week 7,0
Calhoun County,week 8,0
Calhoun County,week 9,0
Calhoun County,week 10,0
Calhoun County,week 11,0
Calhoun County,week 12,0
Calhoun County,week 13,0
Calhoun County,week 14,0
Calhoun County,week 15,0
Calhoun County,week 16,0
Calhoun County,week 17,2
Calhoun County,week 18,1
Calhoun County,week 19,1
Calhoun County,week 20,0
Calhoun County,week 21,1
Calhoun County,week 22,1
Calhoun County,week 23,0
Calhoun County,week 24,0
Calhoun County,week 25,1
Calhoun County,week 26,0
Calhoun County,week 27,0
Calhoun County,week 28,0
Calhoun County,week 29,1
Calhoun County,week 30,0
Calhoun County,week 31,0
Calhoun County,week 32,1
Calhoun County,week 33,0
Calhoun County,week 34,0
Calhoun County,week 35,0
Charlotte County,week 1,0
Charlotte County,week 2,0
Charlotte County,week 3,0
Charlotte County,week 4,0
Charlotte County,week 5,0
Charlotte County,week 6,0
Charlotte County,week 7,0
Charlotte County,week 8,0
Charlotte County,week 9,0
Charlotte County,week 10,0
Charlotte County,week 11,1
Charlotte County,week 12,4
Charlotte County,week 13,6
Charlotte County,week 14,4
Charlotte County,week 15,11
Charlotte County,week 16,9
Charlotte County,week 17,9
Charlotte County,week 18,12
Charlotte County,week 19,9
Charlotte County,week 20,7
Charlotte County,week 21,1
Charlotte County,week 22,2
Charlotte County,week 23,1
Charlotte County,week 24,1
Charlotte County,week 25,2
Charlotte County,week 26,3
Charlotte County,week 27,2
Charlotte County,week 28,5
Charlotte County,week 29,5
Charlotte County,week 30,9
Charlotte County,week 31,5
Charlotte County,week 32,4
Charlotte County,week 33,5
Charlotte County,week 34,8
Charlotte County,week 35,3
Citrus County,week 1,0
Citrus County,week 2,0
Citrus County,week 3,0
Citrus County,week 4,0
Citrus County,week 5,0
Citrus County,week 6,0
Citrus County,week 7,0
Citrus County,week 8,0
Citrus County,week 9,0
Citrus County,week 10,2
Citrus County,week 11,0
Citrus County,week 12,5
Citrus County,week 13,1
Citrus County,week 14,3
Citrus County,week 15,0
Citrus County,week 16,0
Citrus County,week 17,1
Citrus County,week 18,0
Citrus County,week 19,0
Citrus County,week 20,0
Citrus County,week 21,0
Citrus County,week 22,0
Citrus County,week 23,1
Citrus County,week 24,0
Citrus County,week 25,3
Citrus County,week 26,1
Citrus County,week 27,3
Citrus County,week 28,14
Citrus County,week 29,3
Citrus County,week 30,6
Citrus County,week 31,7
Citrus County,week 32,9
Citrus County,week 33,5
Citrus County,week 34,11
Citrus County,week 35,1
Clay County,week 1,0
Clay County,week 2,0
Clay County,week 3,0
Clay County,week 4,0
Clay County,week 5,0
Clay County,week 6,0
Clay County,week 7,0
Clay County,week 8,0
Clay County,week 9,2
Clay County,week 10,3
Clay County,week 11,2
Clay County,week 12,2
Clay County,week 13,2
Clay County,week 14,3
Clay County,week 15,4
Clay County,week 16,4
Clay County,week 17,3
Clay County,week 18,2
Clay County,week 19,3
Clay County,week 20,2
Clay County,week 21,0
Clay County,week 22,1
Clay County,week 23,1
Clay County,week 24,0
Clay County,week 25,5
Clay County,week 26,4
Clay County,week 27,4
Clay County,week 28,2
Clay County,week 29,3
Clay County,week 30,17
Clay County,week 31,4
